0.00 0.00 0.00
1.03 0.00 1.00
2.03 0.00 1.00
3.03 0.00 1.00
4.03 0.00 1.00
5.03 0.00 1.00
6.03 0.00 1.00
7.03 0.00 1.00
8.03 0.00 1.00
9.03 0.00 1.00
10.03 0.00 1.00
11.03 0.00 1.00
12.03 0.00 1.00
13.04 0.00 1.00
14.04 0.00 1.00
15.03 0.00 1.00
16.04 0.00 1.00
17.04 0.00 1.00
18.04 0.00 1.00
19.03 0.00 1.00
20.04 0.00 1.00
21.04 0.00 1.00
22.03 0.00 1.00
23.04 0.00 1.00
24.03 0.00 1.00
25.03 0.00 1.00
26.04 0.00 1.00
27.04 0.00 1.00
28.03 0.00 1.00
29.03 0.00 1.00
30.04 0.00 1.00
31.03 0.00 1.00
32.03 0.00 1.00
33.04 0.00 1.00
34.03 0.00 1.00
35.03 0.00 1.00
36.03 0.00 1.00
37.03 0.00 1.00
38.03 0.00 1.00
39.03 0.00 1.00
40.04 0.00 1.00
41.03 0.00 1.00
42.03 0.00 1.00
43.03 0.00 1.00
44.04 0.00 1.00
45.04 0.00 1.00
46.03 0.00 1.00
47.03 0.00 1.00
48.04 0.00 1.00
49.03 0.00 1.00
50.03 0.00 1.00
51.03 0.00 1.00
52.03 0.00 1.00
53.03 0.01 1.00
54.03 0.01 1.00
55.03 0.00 1.00
56.03 0.00 1.00
57.03 0.00 1.00
58.03 0.00 1.00
59.03 0.00 1.00
60.04 0.00 1.00
61.04 0.00 1.00
62.03 0.00 1.00
63.04 0.00 1.00
64.03 0.00 1.00
65.04 0.00 1.00
66.03 0.02 1.00
67.03 0.02 1.00
68.04 0.02 1.00
69.04 0.01 1.00
70.04 0.00 1.00
71.03 0.00 1.00
72.03 0.01 1.00
73.04 0.01 1.00
74.05 0.01 1.00
75.03 0.01 1.00
76.03 0.01 1.00
77.05 0.00 1.00
78.06 0.01 1.00
79.04 0.01 1.00
80.06 0.01 1.00
81.06 0.00 1.00
82.07 0.00 1.00
83.03 0.00 1.00
84.05 0.00 1.00
85.07 0.00 1.00
86.04 0.00 1.00
87.04 0.00 1.00
88.08 0.00 1.00
89.07 0.00 1.00
90.09 0.00 1.00
91.09 0.00 1.00
92.09 0.00 1.00
93.00 0.00 1.00
94.02 0.00 1.00
95.04 0.00 1.00
96.05 0.00 1.00
97.06 0.00 1.00
98.09 0.00 1.00
99.02 0.00 1.00
100.04 0.00 1.00
101.08 0.00 1.00
102.00 0.00 1.00
103.03 0.00 1.00
104.06 0.00 1.00
105.00 0.01 1.00
106.04 0.01 1.00
107.09 0.00 1.00
108.05 0.01 1.00
109.02 0.01 1.00
110.09 0.01 1.00
111.07 0.00 1.00
112.05 0.01 1.00
113.03 0.01 1.00
114.01 0.01 1.00
115.00 0.01 1.00
116.07 0.00 1.00
117.05 0.00 1.00
118.01 0.00 1.00
119.11 0.00 1.00
120.10 0.00 1.00
121.08 0.00 1.00
122.07 0.01 1.00
123.06 0.02 1.00
124.05 0.03 1.00
125.05 0.02 1.00
126.05 0.02 1.00
127.06 0.02 1.00
128.07 0.02 1.00
129.10 0.02 1.00
130.02 0.02 1.00
131.05 0.03 1.00
132.08 0.03 1.00
133.11 0.03 1.00
134.02 0.03 1.00
135.04 0.03 1.00
136.07 0.03 1.00
137.10 0.05 1.00
138.02 0.06 1.00
139.05 0.06 1.00
140.09 0.06 1.00
141.02 0.06 1.00
142.06 0.06 1.00
143.01 0.07 1.00
144.08 0.08 1.00
145.00 0.08 1.00
146.11 0.08 1.00
147.10 0.08 1.00
148.11 0.08 1.00
149.12 0.08 1.00
150.00 0.09 1.00
151.01 0.10 1.00
152.03 0.09 1.00
153.05 0.09 1.00
154.07 0.10 1.00
155.07 0.10 1.00
156.10 0.11 1.00
157.01 0.11 1.00
158.03 0.11 1.00
159.06 0.13 1.00
160.10 0.13 1.00
161.01 0.13 1.00
162.06 0.13 1.00
163.10 0.14 1.00
164.01 0.14 1.00
165.05 0.15 1.00
166.12 0.15 1.00
167.06 0.15 1.00
168.13 0.15 1.00
169.08 0.16 1.00
170.04 0.16 1.00
171.10 0.16 1.00
172.04 0.16 1.00
173.13 0.16 1.00
174.07 0.16 1.00
175.11 0.16 1.00
176.04 0.16 1.00
177.13 0.17 1.00
178.06 0.17 1.00
179.13 0.18 1.00
180.08 0.18 1.00
181.04 0.18 1.00
182.01 0.18 1.00
183.01 0.18 1.00
184.00 0.18 1.00
185.14 0.18 1.00
186.02 0.18 1.00
187.07 0.19 1.00
188.14 0.20 1.00
189.09 0.21 1.00
190.05 0.23 1.00
191.05 0.23 1.00
192.06 0.23 1.00
193.09 0.23 1.00
194.13 0.25 1.00
195.02 0.26 1.00
196.08 0.26 1.00
197.13 0.26 1.00
198.02 0.29 1.00
199.10 0.30 1.00
200.00 0.30 1.00
201.08 0.31 1.00
202.16 0.32 1.00
203.06 0.32 1.00
204.16 0.33 1.00
205.07 0.33 1.00
206.17 0.33 1.00
207.09 0.33 1.00
208.01 0.33 1.00
209.13 0.33 1.00
210.07 0.33 1.00
211.17 0.34 1.00
212.11 0.34 1.00
213.06 0.34 1.00
214.02 0.34 1.00
215.17 0.34 1.00
216.17 0.34 1.00
217.19 0.34 1.00
218.01 0.34 1.00
219.03 0.34 1.00
220.10 0.35 1.00
221.16 0.35 1.00
222.00 0.36 1.00
223.08 0.36 1.00
224.19 0.38 1.00
225.06 0.39 1.00
226.18 0.40 1.00
227.10 0.40 1.00
228.03 0.40 1.00
229.19 0.40 1.00
230.15 0.41 1.00
231.12 0.41 1.00
232.10 0.43 1.00
233.10 0.43 1.00
234.12 0.43 1.00
235.17 0.44 1.00
236.19 0.46 1.00
237.00 0.47 1.00
238.08 0.47 1.00
239.19 0.47 1.00
240.03 0.48 1.00
241.15 0.49 1.00
242.02 0.50 1.00
243.16 0.50 1.00
244.05 0.50 1.00
245.23 0.50 1.00
246.16 0.51 1.00
247.11 0.52 1.00
248.05 0.52 1.00
249.01 0.54 1.00
250.30 0.54 1.00
251.29 0.54 1.00
252.31 0.54 1.00
253.33 0.56 1.00
254.02 0.57 1.00
255.06 0.59 1.00
256.12 0.59 1.00
257.21 0.59 1.00
258.28 0.59 1.00
259.00 0.60 1.00
260.11 0.60 1.00
261.23 0.61 1.00
262.34 0.62 1.00
263.10 0.62 1.00
264.24 0.63 1.00
265.03 0.63 1.00
266.20 0.63 1.00
267.34 0.64 1.00
268.13 0.64 1.00
269.33 0.65 1.00
270.12 0.65 1.00
271.29 0.65 1.00
272.09 0.65 1.00
273.29 0.66 1.00
274.08 0.66 1.00
275.30 0.66 1.00
276.12 0.66 1.00
277.34 0.66 1.00
278.16 0.66 1.00
279.38 0.66 1.00
280.21 0.66 1.00
281.03 0.66 1.00
282.30 0.66 1.00
283.16 0.67 1.00
284.01 0.68 1.00
285.28 0.68 1.00
286.15 0.68 1.00
287.04 0.68 1.00
288.34 0.69 1.00
289.24 0.69 1.00
290.14 0.69 1.00
291.07 0.70 1.00
292.42 0.70 1.00
293.34 0.70 1.00
294.28 0.71 1.00
295.21 0.71 1.00
296.15 0.71 1.00
297.12 0.72 1.00
298.08 0.72 1.00
299.07 0.73 1.00
300.06 0.73 1.00
